city,province,lat,lon
北京市,北京市,,
天津市,天津市,,
石家庄市,河北省,38.1,114.5
唐山市,河北省,39.6,118.2
秦皇岛市,河北省,39.9,119.6
邯郸市,河北省,36.6,114.5
保定市,河北省,38.9,115.5
张家口市,河北省,40.8,114.9
承德市,河北省,41.0,118.0
廊坊市,河北省,39.5,116.7
沧州市,河北省,38.3,116.8
衡水市,河北省,37.7,115.7
邢台市,河北省,37.1,115.0
太原市,山西省,37.9,112.6
呼和浩特市,内蒙古自治区,40.8,111.8
沈阳市,辽宁省,41.7,123.5
大连市,辽宁省,38.9,121.6
长春市,吉林省,43.8,125.3
哈尔滨市,黑龙江省,45.8,126.5
上海市,上海市,,
南京市,江苏省,32.1,118.8
苏州市,江苏省,31.3,120.6
南通市,江苏省,32.0,120.9
连云港市,江苏省,34.6,119.2
徐州市,江苏省,34.2,117.3
扬州市,江苏省,32.4,119.4
无锡市,江苏省,31.5,120.3
常州市,江苏省,31.8,120.0
镇江市,江苏省,32.2,119.4
泰州市,江苏省,32.5,119.9
淮安市,江苏省,33.6,119.0
盐城市,江苏省,33.4,120.2
宿迁市,江苏省,34.0,118.3
杭州市,浙江省,30.3,120.2
宁波市,浙江省,29.9,121.6
温州市,浙江省,28.0,120.7
绍兴市,浙江省,30.0,120.6
湖州市,浙江省,30.9,120.1
嘉兴市,浙江省,30.8,120.8
台州市,浙江省,28.7,121.4
舟山市,浙江省,30.0,122.2
金华市,浙江省,29.1,119.7
衢州市,浙江省,29.0,118.9
丽水市,浙江省,28.5,119.9
合肥市,安徽省,31.8,117.2
福州市,福建省,26.1,119.3
厦门市,福建省,24.5,118.1
南昌市,江西省,28.7,115.9
济南市,山东省,36.7,117.1
青岛市,山东省,36.1,120.4
郑州市,河南省,34.8,113.6
武汉市,湖北省,30.6,114.3
长沙市,湖南省,28.2,112.9
广州市,广东省,23.1,113.3
深圳市,广东省,22.5,114.1
珠海市,广东省,22.3,113.6
佛山市,广东省,23.0,113.1
中山市,广东省,22.5,113.4
江门市,广东省,22.6,113.1
东莞市,广东省,23.0,113.8
惠州市,广东省,23.1,114.4
肇庆市,广东省,23.1,112.5
南宁市,广西壮族自治区,22.8,108.4
海口市,海南省,20.0,110.3
重庆市,重庆市,,
成都市,四川省,30.7,104.1
贵阳市,贵州省,26.7,106.6
昆明市,云南省,24.9,102.9
拉萨市,西藏自治区,29.7,91.1
西安市,陕西省,34.3,108.9
兰州市,甘肃省,36.1,103.8
西宁市,青海省,36.6,101.8
银川市,宁夏回族自治区,38.5,106.2
乌鲁木齐市,新疆维吾尔自治区,43.8,87.6
湘潭市,湖南省,27.8,113.0
株洲市,湖南省,27.8,113.1
包头市,内蒙古自治区,40.7,109.8
鄂尔多斯市,内蒙古自治区,39.6,109.8
营口市,辽宁省,40.7,122.2
丹东市,辽宁省,40.0,124.4
盘锦市,辽宁省,41.1,122.1
葫芦岛市,辽宁省,40.7,120.8
泉州市,福建省,24.9,118.7
临沂市,山东省,35.1,118.4
德州市,山东省,37.4,116.4
聊城市,山东省,36.5,116.0
滨州市,山东省,37.4,118.0
淄博市,山东省,36.8,118.1
枣庄市,山东省,34.8,117.3
烟台市,山东省,37.5,121.5
潍坊市,山东省,36.7,119.2
济宁市,山东省,35.4,116.6
泰安市,山东省,36.2,117.1
日照市,山东省,35.4,119.5
威海市,山东省,37.5,122.1
东营市,山东省,37.4,118.7
韶关市,广东省,24.8,113.6
汕头市,广东省,23.4,116.7
湛江市,广东省,21.3,110.4
茂名市,广东省,21.7,110.9
梅州市,广东省,24.3,116.1
汕尾市,广东省,22.8,115.4
河源市,广东省,23.7,114.7
阳江市,广东省,21.9,112.0
清远市,广东省,23.7,113.1
潮州市,广东省,23.7,116.6
揭阳市,广东省,23.6,116.4
云浮市,广东省,22.9,112.1
玉溪市,云南省,24.4,102.6
菏泽市,山东省,35.2,115.5
大同市,山西省,40.1,113.3
长治市,山西省,36.2,113.1
临汾市,山西省,36.1,111.5
阳泉市,山西省,37.9,113.6
赤峰市,内蒙古自治区,42.3,118.9
鞍山市,辽宁省,41.1,123.0
抚顺市,辽宁省,41.9,124.0
本溪市,辽宁省,41.5,123.7
锦州市,辽宁省,41.1,121.1
吉林市,吉林省,43.8,126.6
齐齐哈尔市,黑龙江省,47.4,123.9
牡丹江市,黑龙江省,44.6,129.6
大庆市,黑龙江省,46.6,125.1
芜湖市,安徽省,31.4,118.4
马鞍山市,安徽省,31.7,118.5
九江市,江西省,29.7,116.0
洛阳市,河南省,34.6,112.5
安阳市,河南省,36.1,114.4
开封市,河南省,34.8,114.3
焦作市,河南省,35.2,113.2
平顶山市,河南省,33.8,113.2
三门峡市,河南省,34.8,111.2
宜昌市,湖北省,30.7,111.3
荆州市,湖北省,30.3,112.2
岳阳市,湖南省,29.4,113.1
常德市,湖南省,29.0,111.7
张家界市,湖南省,29.1,110.5
桂林市,广西壮族自治区,25.2,110.2
北海市,广西壮族自治区,21.5,109.1
柳州市,广西壮族自治区,24.3,109.4
三亚市,海南省,18.3,109.5
绵阳市,四川省,31.5,104.7
宜宾市,四川省,28.8,104.6
攀枝花市,四川省,26.6,101.7
泸州市,四川省,28.9,105.4
自贡市,四川省,29.3,104.8
德阳市,四川省,31.1,104.4
南充市,四川省,30.8,106.1
遵义市,贵州省,27.7,106.9
曲靖市,云南省,25.5,103.8
咸阳市,陕西省,34.3,108.7
铜川市,陕西省,34.9,109.0
延安市,陕西省,36.6,109.5
宝鸡市,陕西省,34.4,107.2
渭南市,陕西省,34.5,109.5
金昌市,甘肃省,38.5,102.2
嘉峪关市,甘肃省,39.8,98.3
石嘴山市,宁夏回族自治区,39.0,106.4
克拉玛依市,新疆维吾尔自治区,45.6,84.9
巴音郭楞州市,,,
寿光市,,,
章丘市,,,
即墨市,,,
胶南市,,,
胶州市,,,
莱西市,,,
平度市,,,
蓬莱市,,,
招远市,,,
莱州市,,,
荣成市,,,
文登市,,,
乳山市,,,
吴江市,,,
昆山市,,,
常熟市,,,
张家港市,,,
太仓市,,,
句容市,,,
江阴市,,,
宜兴市,,,
金坛市,,,
溧阳市,,,
海门市,,,
临安市,,,
富阳市,,,
义乌市,,,
诸暨市,,,
瓦房店市,,,
信阳市,河南省,32.2,114.1
周口市,河南省,33.6,114.7
漳州市,福建省,24.5,117.7
晋城市,山西省,35.5,112.9
朔州市,山西省,39.3,112.4
晋中市,山西省,37.7,112.8
运城市,山西省,35.0,111.0
忻州市,山西省,38.4,112.7
吕梁市,山西省,37.5,111.2
乌海市,内蒙古自治区,39.7,106.8
通辽市,内蒙古自治区,43.7,122.3
呼伦贝尔市,内蒙古自治区,49.2,119.8
巴彦淖尔市,内蒙古自治区,40.7,107.4
乌兰察布市,内蒙古自治区,41.0,113.1
兴安盟市,内蒙古自治区,46.1,122.0
锡林郭勒盟市,内蒙古自治区,43.9,116.1
阿拉善盟市,内蒙古自治区,38.9,105.7
阜新市,辽宁省,42.0,121.7
辽阳市,辽宁省,41.3,123.2
铁岭市,辽宁省,42.2,123.7
朝阳市,辽宁省,41.6,120.5
四平市,吉林省,43.2,124.4
辽源市,吉林省,42.9,125.2
通化市,吉林省,41.7,125.9
白山市,吉林省,41.9,126.4
松原市,吉林省,45.1,124.8
白城市,吉林省,45.6,122.8
延边朝鲜族自治州市,吉林省,,
鸡西市,黑龙江省,45.3,131.0
鹤岗市,黑龙江省,47.4,130.3
双鸭山市,黑龙江省,46.7,131.2
伊春市,黑龙江省,47.7,128.8
佳木斯市,黑龙江省,46.8,130.3
七台河市,黑龙江省,45.8,131.0
黑河市,黑龙江省,50.3,127.5
绥化市,黑龙江省,46.7,127.0
大兴安岭地区市,黑龙江省,,
蚌埠市,安徽省,32.9,117.4
淮南市,安徽省,32.6,117.0
淮北市,安徽省,34.0,116.8
铜陵市,安徽省,31.0,117.8
安庆市,安徽省,30.5,117.1
黄山市,安徽省,29.7,118.3
滁州市,安徽省,32.3,118.3
阜阳市,安徽省,32.9,115.8
宿州市,安徽省,33.7,117.0
六安市,安徽省,31.7,116.5
亳州市,安徽省,33.9,115.8
池州市,安徽省,30.7,117.5
宣城市,安徽省,30.9,118.8
莆田市,福建省,25.5,119.0
三明市,福建省,26.3,117.6
南平市,福建省,26.6,118.2
龙岩市,福建省,25.1,117.0
宁德市,福建省,26.7,119.6
景德镇市,江西省,29.3,117.2
萍乡市,江西省,27.6,113.9
新余市,江西省,27.8,114.9
鹰潭市,江西省,28.3,117.1
赣州市,江西省,25.8,114.9
吉安市,江西省,27.1,115.0
宜春市,江西省,27.8,114.4
抚州市,江西省,28.0,116.4
上饶市,江西省,28.5,117.9
鹤壁市,河南省,35.8,114.3
新乡市,河南省,35.3,113.9
濮阳市,河南省,35.8,115.0
许昌市,河南省,34.0,113.9
漯河市,河南省,33.6,114.0
南阳市,河南省,33.0,112.5
商丘市,河南省,34.4,115.7
驻马店市,河南省,33.0,114.0
黄石市,湖北省,30.2,115.0
十堰市,湖北省,32.6,110.8
襄阳市,湖北省,32.0,112.1
鄂州市,湖北省,30.4,114.9
荆门市,湖北省,31.0,112.2
孝感市,湖北省,30.9,113.9
黄冈市,湖北省,30.5,114.9
咸宁市,湖北省,29.8,114.3
随州市,湖北省,31.7,113.4
恩施土家族苗族自治州市,湖北省,,
衡阳市,湖南省,26.9,112.6
邵阳市,湖南省,27.2,111.5
益阳市,湖南省,28.6,112.4
郴州市,湖南省,25.8,113.0
永州市,湖南省,26.4,111.6
怀化市,湖南省,27.6,110.0
娄底市,湖南省,27.7,112.0
湘西州市,湖南省,,
梧州市,广西壮族自治区,23.5,111.3
防城港市,广西壮族自治区,21.7,108.4
钦州市,广西壮族自治区,22.0,108.7
贵港市,广西壮族自治区,23.1,109.6
玉林市,广西壮族自治区,22.7,110.2
百色市,广西壮族自治区,23.9,106.6
贺州市,广西壮族自治区,24.4,111.6
河池市,广西壮族自治区,24.7,108.1
来宾市,广西壮族自治区,23.8,109.2
崇左市,广西壮族自治区,22.4,107.4
广元市,四川省,32.4,105.9
遂宁市,四川省,30.5,105.6
内江市,四川省,29.6,105.1
乐山市,四川省,29.6,103.8
眉山市,四川省,30.1,103.9
广安市,四川省,30.5,106.6
达州市,四川省,31.2,107.5
雅安市,四川省,30.0,103.0
巴中市,四川省,31.9,106.8
资阳市,四川省,30.1,104.6
阿坝藏族羌族自治州市,四川省,,
甘孜州市,四川省,,
甘孜藏族自治州市,四川省,,
凉山彝族自治州市,四川省,,
六盘水市,贵州省,26.6,104.8
安顺市,贵州省,26.3,106.0
铜仁地区市,贵州省,,
毕节市,贵州省,27.3,105.3
黔西南布依族苗族自治州市,贵州省,,
黔东南苗族侗族自治州市,贵州省,,
黔东南州市,贵州省,,
黔南布依族苗族自治州市,贵州省,,
保山市,云南省,25.1,99.2
昭通市,云南省,27.3,103.7
丽江市,云南省,26.9,100.2
普洱市,云南省,22.8,101.0
临沧市,云南省,23.9,100.1
楚雄州市,云南省,,
红河州市,云南省,,
文山州市,云南省,,
西双版纳州市,云南省,,
大理州市,云南省,,
德宏州市,云南省,,
怒江州市,云南省,,
迪庆州市,云南省,,
昌都市,西藏自治区,31.1,97.2
山南市,西藏自治区,29.2,91.8
日喀则市,西藏自治区,29.3,88.9
那曲地区市,西藏自治区,,
那曲市,西藏自治区,31.5,92.1
阿里地区市,西藏自治区,,
林芝市,西藏自治区,29.7,94.4
汉中市,陕西省,33.1,107.0
榆林市,陕西省,38.3,109.7
安康市,陕西省,32.7,109.0
商洛市,陕西省,33.9,109.9
白银市,甘肃省,36.6,104.1
天水市,甘肃省,34.6,105.7
武威市,甘肃省,37.9,102.6
张掖市,甘肃省,38.9,100.5
平凉市,甘肃省,35.5,106.7
酒泉市,甘肃省,39.7,98.5
庆阳市,甘肃省,35.7,107.6
定西市,甘肃省,35.6,104.6
陇南市,甘肃省,33.4,104.9
临夏回族自治州市,宁夏回族自治区,,
甘南州市,宁夏回族自治区,,
海东地区市,宁夏回族自治区,,
海北藏族自治州市,宁夏回族自治区,,
黄南藏族自治州市,宁夏回族自治区,,
海南藏族自治州市,宁夏回族自治区,,
果洛藏族自治州市,宁夏回族自治区,,
玉树藏族自治州市,宁夏回族自治区,,
海西蒙古族藏族自治州市,宁夏回族自治区,,
吴忠市,宁夏回族自治区,38.0,106.2
中卫市,宁夏回族自治区,37.5,105.2
固原市,宁夏回族自治区,36.0,106.2
吐鲁番地区市,新疆维吾尔自治区,,
哈密地区市,新疆维吾尔自治区,,
昌吉州市,新疆维吾尔自治区,,
博尔塔拉蒙古自治州市,新疆维吾尔自治区,,
阿克苏地区市,新疆维吾尔自治区,,
克孜勒苏柯尔克孜自治州市,新疆维吾尔自治区,,
喀什地区市,新疆维吾尔自治区,,
和田地区市,新疆维吾尔自治区,,
伊犁哈萨克州市,新疆维吾尔自治区,,
塔城地区市,新疆维吾尔自治区,,
阿勒泰地区市,新疆维吾尔自治区,,
石河子市,新疆维吾尔自治区,,
五家渠市,新疆维吾尔自治区,,
三沙市,海南省,30.3,112.3
兰州新区市,,,
赣江新区市,,,
儋州市,海南省,19.6,109.2
雄安新区市,北京市,,
西咸新区市,,,
